timestamp,dxy_value,date,datetime,description,dxy_ma_20,dxy_ma_50,dxy_ma_200
1721880000,104.36000061035156,2024-07-24,2024-07-24 23:00:00,U.S. Dollar Index (DXY),104.78450012207031,104.86900024414062,104.4143004989624
1721966400,104.31999969482422,2024-07-25,2024-07-25 23:00:00,U.S. Dollar Index (DXY),104.70499992370605,104.8552001953125,104.40550048828125
1722225600,104.55999755859375,2024-07-28,2024-07-28 23:00:00,U.S. Dollar Index (DXY),104.63949966430664,104.85940017700196,104.39915046691894
1722312000,104.55000305175781,2024-07-29,2024-07-29 23:00:00,U.S. Dollar Index (DXY),104.57199974060059,104.86120025634766,104.39280048370361
1722398400,104.0999984741211,2024-07-30,2024-07-30 23:00:00,U.S. Dollar Index (DXY),104.49099960327149,104.85420028686524,104.38045047760009
1722484800,104.41999816894531,2024-07-31,2024-07-31 23:00:00,U.S. Dollar Index (DXY),104.4419994354248,104.85120025634765,104.36930046081542
1722571200,103.20999908447266,2024-08-01,2024-08-01 23:00:00,U.S. Dollar Index (DXY),104.35849952697754,104.82220016479492,104.35415046691895
1722830400,102.69000244140625,2024-08-04,2024-08-04 23:00:00,U.S. Dollar Index (DXY),104.24249954223633,104.77720016479492,104.33635047912598
1722916800,102.97000122070312,2024-08-05,2024-08-05 23:00:00,U.S. Dollar Index (DXY),104.13449974060059,104.73440017700196,104.31835048675538
1723003200,103.19999694824219,2024-08-06,2024-08-06 23:00:00,U.S. Dollar Index (DXY),104.0419994354248,104.70400009155273,104.30310047149658
1723089600,103.20999908447266,2024-08-07,2024-08-07 23:00:00,U.S. Dollar Index (DXY),103.98049926757812,104.67600006103515,104.2883504486084
1723176000,103.13999938964844,2024-08-08,2024-08-08 23:00:00,U.S. Dollar Index (DXY),103.93299942016601,104.6368000793457,104.276350440979
1723435200,103.13999938964844,2024-08-11,2024-08-11 23:00:00,U.S. Dollar Index (DXY),103.88049926757813,104.6052000427246,104.26070045471191
